artist_count,released_year,streams,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_encoded,mode_encoded
1,2022,635412045,3246,23,94,85,68,132,58,27,48,50,0,12,3,7,0
2,2022,1230675890,8576,42,216,108,331,131,71,24,47,1,0,27,9,5,0
2,2022,585695368,3618,38,47,74,80,168,78,58,73,5,0,10,7,9,1
1,2023,43857627,370,20,12,16,18,98,68,40,79,33,0,30,6,4,0
1,1975,2009094673,31123,55,300,65,1003,102,48,50,73,43,0,15,4,4,0
2,2022,600976848,2790,30,60,96,71,101,34,32,57,78,0,20,3,2,0
2,2023,39709092,267,9,9,6,25,130,63,36,34,76,0,35,9,8,0
1,2023,39228929,139,17,16,72,5,142,50,20,64,1,0,12,3,5,0
2,2021,2665343922,17050,36,492,99,798,170,59,48,76,4,0,10,5,4,0
2,2023,223633238,2114,44,80,75,110,124,78,70,68,3,1,11,4,11,1
1,2018,2887241814,17836,53,440,125,1800,110,50,45,41,75,0,11,3,4,0
2,2022,1440757818,8870,43,104,120,141,92,91,43,71,9,0,9,8,4,1
1,2015,165484133,6060,53,150,148,2703,116,82,40,66,39,51,25,7,5,0
2,2012,58054811,641,50,1,52,8,129,63,84,82,70,8,9,7,1,0
1,2023,157058870,1446,12,57,97,35,98,71,67,60,19,0,12,3,11,0
1,2023,95131998,804,25,29,76,24,172,74,76,76,6,0,10,9,4,1
2,2023,250305248,1962,38,28,89,29,150,68,14,76,4,0,10,4,5,0
1,2017,685032533,4875,23,19,45,0,136,62,19,53,11,0,6,4,1,1
1,2020,38411956,31,39,2,107,8,88,53,34,47,9,0,83,4,4,1
2,2023,144565150,2175,23,69,145,69,143,83,69,44,15,0,10,33,6,0
1,2023,127567540,2000,46,49,105,63,100,49,17,35,71,9,11,3,9,1
1,2022,399686758,2839,25,58,156,42,143,56,39,55,14,0,11,13,8,0
1,2011,983637508,20333,52,89,143,1632,112,56,24,66,7,0,12,3,4,1
1,2023,118482347,674,47,20,106,25,93,62,57,59,3,0,38,3,10,0
1,2012,882831184,8448,23,160,110,163,206,43,50,55,50,0,15,10,10,0
3,2022,286400165,2110,58,17,119,19,88,68,17,71,15,0,11,5,10,1
1,2023,172825906,2528,39,56,91,59,170,50,37,90,0,0,12,5,5,0
